dataset,transition,count,fraction
question75_5,correct->correct,58,0.7945205479452054
question75_5,correct->wrong,4,0.0547945205479452
question75_5,wrong->correct,0,0.0
question75_5,wrong->wrong,11,0.1506849315068493
question75_5,avg_retrieval_recall,0.4739148858171659,
question75_5,avg_retrieval_precision,0.07388493894285084,
question75_5,avg_retrieval_f1,0.11760006512263459,
question75_5,avg_rerank_recall,0.30478574445577333,
question75_5,avg_rerank_precision,0.24384496781757045,
question75_5,avg_rerank_f1,0.23849135834997318,
question75_5,avg_retrieved_chunk_count,45.6986301369863,
question75_5,avg_reranked_chunk_count,6.616438356164384,
question75_10,correct->correct,60,0.821917808219178
question75_10,correct->wrong,1,0.0136986301369863
question75_10,wrong->correct,0,0.0
question75_10,wrong->wrong,12,0.1643835616438356
question75_10,avg_retrieval_recall,0.47074939155578116,
question75_10,avg_retrieval_precision,0.07459567762200271,
question75_10,avg_retrieval_f1,0.11893650549602758,
question75_10,avg_rerank_recall,0.37247000778003053,
question75_10,avg_rerank_precision,0.16808974882555228,
question75_10,avg_rerank_f1,0.2096730953544951,
question75_10,avg_retrieved_chunk_count,45.273972602739725,
question75_10,avg_reranked_chunk_count,12.547945205479452,
