dataset,bucket,source_file,question_index,question_zh,question_en,gold_chunk_count,retrieved_chunk_count,reranked_chunk_count,retrieval_recall,retrieval_precision,retrieval_f1,rerank_recall,rerank_precision,rerank_f1,delta_recall,delta_precision,delta_f1,gold_chunk_preview,retrieved_match_preview,rerank_match_preview,reranked_chunk_preview,manual_label,secondary_label,notes
question75_5,helped,src/test/test_questions/question75_5/question_2_2.json,0,路特斯科技的一股美国存托股份【ADS】代表多少股普通股？,How many ordinary shares does one American Depositary Share (ADS) of Lotus Technology represent?,5,90,5,1.0,0.05555555555555555,0.10526315789473684,0.6,0.6,0.6,-0.4,0.5444444444444444,0.49473684210526314,"The summary below describes the principal terms of the offering. The “Description of Share Capital” section and “Description of American Depositary Shares” section of this prospectus contain a more detailed description o || ADSs issuable upon exercise of all Warrants. 15,037,030 American Depositary Shares (ADSs). Use of Proceeds Lotus Technology will receive up to an aggregate of approximately US\$172.9 million from the exercise of all Warr || Up to 680,957,495 American Depositary Shares (ADSs) are offered by the Selling Securityholders, which represent: ● 542,850,129 Ordinary Shares beneficially owned by Lotus Advanced Technology Limited Partnership, Lotus Te","The summary below describes the principal terms of the offering. The “Description of Share Capital” section and “Description of American Depositary Shares” section of this prospectus contain a more detailed description o || ADSs issuable upon exercise of all Warrants. 15,037,030 American Depositary Shares (ADSs). Use of Proceeds Lotus Technology will receive up to an aggregate of approximately US\$172.9 million from the exercise of all Warr || Up to 680,957,495 American Depositary Shares (ADSs) are offered by the Selling Securityholders, which represent: ● 542,850,129 Ordinary Shares beneficially owned by Lotus Advanced Technology Limited Partnership, Lotus Te","The summary below describes the principal terms of the offering. The “Description of Share Capital” section and “Description of American Depositary Shares” section of this prospectus contain a more detailed description o || ADSs issuable upon exercise of all Warrants. 15,037,030 American Depositary Shares (ADSs). Use of Proceeds Lotus Technology will receive up to an aggregate of approximately US\$172.9 million from the exercise of all Warr || Up to 680,957,495 American Depositary Shares (ADSs) are offered by the Selling Securityholders, which represent: ● 542,850,129 Ordinary Shares beneficially owned by Lotus Advanced Technology Limited Partnership, Lotus Te","The summary below describes the principal terms of the offering. The “Description of Share Capital” section and “Description of American Depositary Shares” section of this prospectus contain a more detailed description o || ADSs issuable upon exercise of all Warrants. 15,037,030 American Depositary Shares (ADSs). Use of Proceeds Lotus Technology will receive up to an aggregate of approximately US\$172.9 million from the exercise of all Warr || Up to 680,957,495 American Depositary Shares (ADSs) are offered by the Selling Securityholders, which represent: ● 542,850,129 Ordinary Shares beneficially owned by Lotus Advanced Technology Limited Partnership, Lotus Te",,,
question75_5,helped,src/test/test_questions/question75_5/question_37_37.json,0,介绍一下路特斯的Vision80计划和Win26计划,What is Lotus Technology's Vision80 plan? | What is Lotus Technology's Win26 plan?,4,53,9,1.0,0.07547169811320754,0.14035087719298245,1.0,0.4444444444444444,0.6153846153846153,0.0,0.3689727463312369,0.47503373819163286,"The Vision80 strategy is dedicated to reviving the Lotus brand globally by focusing on customer satisfaction and shareholder returns. Under this strategy, the Win26 Plan aims for positive operating cash flow and Earnings || The Lotus WIN26 Plan targets positive operating cash flow and EBITDA in 2026 to enhance profitability and potentially increase returns to investors. Key milestones for 2026 include a vehicle delivery volume of 30,000 uni || Lotus Technology plans to launch a well-balanced portfolio of new models with exceptional performance in the coming years to broaden its customer base, in particular high net worth individuals and the tech-savvy younger ","The Vision80 strategy is dedicated to reviving the Lotus brand globally by focusing on customer satisfaction and shareholder returns. Under this strategy, the Win26 Plan aims for positive operating cash flow and Earnings || To help engage the next generation of Lotus colleagues, Lotus Technology leverages its unique global appeal and stimulates the ambitions of the next generation, especially in the creative science, technology, engineering || The Lotus WIN26 Plan targets positive operating cash flow and EBITDA in 2026 to enhance profitability and potentially increase returns to investors. Key milestones for 2026 include a vehicle delivery volume of 30,000 uni","To help engage the next generation of Lotus colleagues, Lotus Technology leverages its unique global appeal and stimulates the ambitions of the next generation, especially in the creative science, technology, engineering || The Vision80 strategy is dedicated to reviving the Lotus brand globally by focusing on customer satisfaction and shareholder returns. Under this strategy, the Win26 Plan aims for positive operating cash flow and Earnings || Lotus Technology plans to launch a well-balanced portfolio of new models with exceptional performance in the coming years to broaden its customer base, in particular high net worth individuals and the tech-savvy younger ","To help engage the next generation of Lotus colleagues, Lotus Technology leverages its unique global appeal and stimulates the ambitions of the next generation, especially in the creative science, technology, engineering || The Vision80 strategy is dedicated to reviving the Lotus brand globally by focusing on customer satisfaction and shareholder returns. Under this strategy, the Win26 Plan aims for positive operating cash flow and Earnings || [Table Level] - **Table Title**: Projected Units of Deliveries and Market Goals (2018–2028) - **Table Summary**: This visual representation outlines the historical and projected vehicle delivery targets from 2018 to 2028",,,
question75_5,helped,src/test/test_questions/question75_5/question_57_57.json,0,LTIC向Geely UK Limited转让LTIC股权的转让对价是多少？,What is the consideration for the transfer of LTIC shares from LTIC to Geely UK Limited?,2,22,5,1.0,0.09090909090909091,0.16666666666666669,1.0,0.4,0.5714285714285715,0.0,0.3090909090909091,0.4047619047619048,"Lotus Technology Innovative Limited (the “LTIL”), a wholly-owned subsidiary of Lotus Technology Inc., recently entered into a share sale and transfer agreement (the “Share Transfer Agreement”) with Geely UK Limited (“Gee || By: /s/ Alexious Kuen Long Lee Name: Alexious Kuen Long Lee Title: Director and Chief Financial Officer THE SYMBOL “[REDACTED]” DENOTES PLACES WHERE CERTAIN IDENTIFIED INFORMATION HAS BEEN EXCLUDED FROM THE EXHIBIT BECAU","Lotus Technology Innovative Limited (the “LTIL”), a wholly-owned subsidiary of Lotus Technology Inc., recently entered into a share sale and transfer agreement (the “Share Transfer Agreement”) with Geely UK Limited (“Gee || By: /s/ Alexious Kuen Long Lee Name: Alexious Kuen Long Lee Title: Director and Chief Financial Officer THE SYMBOL “[REDACTED]” DENOTES PLACES WHERE CERTAIN IDENTIFIED INFORMATION HAS BEEN EXCLUDED FROM THE EXHIBIT BECAU","Lotus Technology Innovative Limited (the “LTIL”), a wholly-owned subsidiary of Lotus Technology Inc., recently entered into a share sale and transfer agreement (the “Share Transfer Agreement”) with Geely UK Limited (“Gee || By: /s/ Alexious Kuen Long Lee Name: Alexious Kuen Long Lee Title: Director and Chief Financial Officer THE SYMBOL “[REDACTED]” DENOTES PLACES WHERE CERTAIN IDENTIFIED INFORMATION HAS BEEN EXCLUDED FROM THE EXHIBIT BECAU","Lotus Technology Innovative Limited (the “LTIL”), a wholly-owned subsidiary of Lotus Technology Inc., recently entered into a share sale and transfer agreement (the “Share Transfer Agreement”) with Geely UK Limited (“Gee || By: /s/ Alexious Kuen Long Lee Name: Alexious Kuen Long Lee Title: Director and Chief Financial Officer THE SYMBOL “[REDACTED]” DENOTES PLACES WHERE CERTAIN IDENTIFIED INFORMATION HAS BEEN EXCLUDED FROM THE EXHIBIT BECAU || As consideration for Westwood’s irrevocable commitment to purchase ADSs upon the terms of and subject to satisfaction of the conditions set forth in the ELOC Purchase Agreement, Lotus Technology Corporation issued 700,00",,,
question75_5,helped,src/test/test_questions/question75_5/question_42_42.json,0,路特斯是上市公司吗？,Is Lotus Technology a publicly listed company?,3,35,5,0.6666666666666666,0.05714285714285714,0.10526315789473684,0.6666666666666666,0.4,0.5,0.0,0.34285714285714286,0.39473684210526316,"Lotus Technology is an exempted company incorporated in the Cayman Islands and listed on Nasdaq as a foreign private issuer. Nasdaq listing rules permit a foreign private issuer like Lotus Technology to follow the corpor || and ● the selective disclosure rules by issuers of material nonpublic information under Regulation Fair Disclosure, or Regulation FD, which regulate the selective disclosure of material nonpublic information by issuers.  || Lotus Technology Inc. (“the Company”), an exempted company with limited liability, was incorporated in the Cayman Islands on August 9, 2021. The Company, through its wholly owned subsidiaries, consolidated variable inter","Lotus Technology is an exempted company incorporated in the Cayman Islands and listed on Nasdaq as a foreign private issuer. Nasdaq listing rules permit a foreign private issuer like Lotus Technology to follow the corpor || Lotus Technology Inc. (“the Company”), an exempted company with limited liability, was incorporated in the Cayman Islands on August 9, 2021. The Company, through its wholly owned subsidiaries, consolidated variable inter","Lotus Technology is an exempted company incorporated in the Cayman Islands and listed on Nasdaq as a foreign private issuer. Nasdaq listing rules permit a foreign private issuer like Lotus Technology to follow the corpor || Lotus Technology Inc. (“the Company”), an exempted company with limited liability, was incorporated in the Cayman Islands on August 9, 2021. The Company, through its wholly owned subsidiaries, consolidated variable inter","Lotus Technology is an exempted company incorporated in the Cayman Islands and listed on Nasdaq as a foreign private issuer. Nasdaq listing rules permit a foreign private issuer like Lotus Technology to follow the corpor || Lotus Technology Inc. (“the Company”), an exempted company with limited liability, was incorporated in the Cayman Islands on August 9, 2021. The Company, through its wholly owned subsidiaries, consolidated variable inter || In addition, Lotus Technology currently publishes its results on a quarterly basis through press releases, distributed pursuant to the rules and regulations of Nasdaq. Press releases relating to financial results and mat",,,
question75_5,helped,src/test/test_questions/question75_5/question_36_36.json,0,介绍一下路特斯智能驾驶的NOA服务？,What is Lotus Technology's NOA service for intelligent driving?,3,31,5,0.6666666666666666,0.06451612903225806,0.1176470588235294,0.6666666666666666,0.4,0.5,0.0,0.33548387096774196,0.3823529411764706,"New York – November 12, 2024 – Lotus Technology Inc. (“Lotus” or the “Company”), a leading global intelligent and luxury mobility provider, today announced its vehicle delivery results for the first ten months of 2024. L || ● Delivery Updates: Lotus delivered a total of 8,631 vehicles in the first 10 months of 2024. ● New Technology Launched: Lotus unveiled its ""Hyper Hybrid EV technology"" at the Guangzhou Auto Show. The 900V Hyper Hybrid E || In the first ten months of 2024, Lotus delivered a total of 8,631 vehicles, making significant inroads in the luxury electric vehicle market in China. In October, Lotus cars accounted for about 40% of the total luxury el","New York – November 12, 2024 – Lotus Technology Inc. (“Lotus” or the “Company”), a leading global intelligent and luxury mobility provider, today announced its vehicle delivery results for the first ten months of 2024. L || ● Delivery Updates: Lotus delivered a total of 8,631 vehicles in the first 10 months of 2024. ● New Technology Launched: Lotus unveiled its ""Hyper Hybrid EV technology"" at the Guangzhou Auto Show. The 900V Hyper Hybrid E","New York – November 12, 2024 – Lotus Technology Inc. (“Lotus” or the “Company”), a leading global intelligent and luxury mobility provider, today announced its vehicle delivery results for the first ten months of 2024. L || ● Delivery Updates: Lotus delivered a total of 8,631 vehicles in the first 10 months of 2024. ● New Technology Launched: Lotus unveiled its ""Hyper Hybrid EV technology"" at the Guangzhou Auto Show. The 900V Hyper Hybrid E","New York – November 12, 2024 – Lotus Technology Inc. (“Lotus” or the “Company”), a leading global intelligent and luxury mobility provider, today announced its vehicle delivery results for the first ten months of 2024. L || ● Delivery Updates: Lotus delivered a total of 8,631 vehicles in the first 10 months of 2024. ● New Technology Launched: Lotus unveiled its ""Hyper Hybrid EV technology"" at the Guangzhou Auto Show. The 900V Hyper Hybrid E || Delivery Update: Lotus Technology delivered a total of 1,282 vehicles in the first 3 months of 2025. Return of Lotus Brand in China: In January 2025, Lotus Technology successfully reclaimed the proprietary rights to the ",,,
question75_5,helped,src/test/test_questions/question75_5/question_17_17.json,0,路特斯科技的研发投入？研发人员数量？,What is Lotus Technology's R&D investment in 2024? | What is the number of R&D personnel at Lotus Technology in 2024?,3,68,7,0.6666666666666666,0.029411764705882353,0.056338028169014086,0.6666666666666666,0.2857142857142857,0.4,0.0,0.25630252100840334,0.34366197183098596,"Lotus Technology's ability to execute effective marketing and attract orders Lotus Technology's results of operations depend significantly on the company's ability to execute effective marketing and attract orders from c || Guided by Lotus Technology's R&D leaders, the global research and development team has extensive experience in the automotive and technology industries. As of June 30, 2024, Lotus Technology's R&D team consisted of 1,631 || [Table Level] - Table Title: Employee Allocation by Function - Table Summary: The table shows the distribution of employees across different functions within Lotus Technology as of June 30, 2024. It provides the number o","Guided by Lotus Technology's R&D leaders, the global research and development team has extensive experience in the automotive and technology industries. As of June 30, 2024, Lotus Technology's R&D team consisted of 1,631 || [Table Level] - Table Title: Employee Allocation by Function - Table Summary: The table shows the distribution of employees across different functions within Lotus Technology as of June 30, 2024. It provides the number o","Guided by Lotus Technology's R&D leaders, the global research and development team has extensive experience in the automotive and technology industries. As of June 30, 2024, Lotus Technology's R&D team consisted of 1,631 || [Table Level] - Table Title: Employee Allocation by Function - Table Summary: The table shows the distribution of employees across different functions within Lotus Technology as of June 30, 2024. It provides the number o","Over 12,000 vehicles delivered in 2024, a year-on-year increase of over 70%. Total revenue reached $924 million, a 36% year-on-year growth. Achieved a reduction in operating expenses for five consecutive quarters through || Lotus Technology has not been profitable since its inception. Lotus Technology incurred a net loss of US\$1,107.3 million, US\$750.3 million, and US\$724.6 million in 2024, 2023, and 2022, respectively. In addition, Lotu || Lotus Technology is a leading global intelligent and luxury mobility provider that designs and develops luxury lifestyle vehicles (non-sports cars for daily usage) under the iconic British brand “Lotus” and sells all Lot",,,
question75_5,helped,src/test/test_questions/question75_5/question_0_0.json,0,路特斯科技的总部位于哪里？,Where is the headquarters of Lotus Technology located?,5,26,5,0.8,0.15384615384615385,0.25806451612903225,0.6,0.6,0.6,-0.20000000000000007,0.4461538461538461,0.3419354838709677,"Lotus Technology has a dedicated global team to support its R&D activities with a sizable scale and comprehensive functionalities, covering all major technological perspectives. Lotus Technology's approach to innovation  || In October 2023, Lotus Technology's wholly foreign-owned enterprise (WFOE) pledged the land use rights, buildings, and ancillary facilities on certain pieces of land totaling approximately 84,000 square meters where Lotu || In October 2023, Lotus Technology's wholly foreign-owned enterprise (WFOE) pledged the land use rights, buildings, and ancillary facilities on certain pieces of land totaling approximately 84,000 square meters where Lotu","Lotus Technology has a dedicated global team to support its R&D activities with a sizable scale and comprehensive functionalities, covering all major technological perspectives. Lotus Technology's approach to innovation  || Lotus Technology's research and development efforts are focusing on the development of key electric vehicle technologies while benefiting from the technological support from the Geely Holding ecosystem. Lotus Technology  || In October 2023, Lotus Technology's wholly foreign-owned enterprise (WFOE) pledged the land use rights, buildings, and ancillary facilities on certain pieces of land totaling approximately 84,000 square meters where Lotu","Lotus Technology has a dedicated global team to support its R&D activities with a sizable scale and comprehensive functionalities, covering all major technological perspectives. Lotus Technology's approach to innovation  || Lotus Technology's research and development efforts are focusing on the development of key electric vehicle technologies while benefiting from the technological support from the Geely Holding ecosystem. Lotus Technology  || In October 2023, Lotus Technology's wholly foreign-owned enterprise (WFOE) pledged the land use rights, buildings, and ancillary facilities on certain pieces of land totaling approximately 84,000 square meters where Lotu","Lotus Technology has a dedicated global team to support its R&D activities with a sizable scale and comprehensive functionalities, covering all major technological perspectives. Lotus Technology's approach to innovation  || Lotus Technology's research and development efforts are focusing on the development of key electric vehicle technologies while benefiting from the technological support from the Geely Holding ecosystem. Lotus Technology  || In October 2023, Lotus Technology's wholly foreign-owned enterprise (WFOE) pledged the land use rights, buildings, and ancillary facilities on certain pieces of land totaling approximately 84,000 square meters where Lotu",,,
question75_5,helped,src/test/test_questions/question75_5/question_39_39.json,0,前10个月欧洲市场和中国市场的销量贡献分别是多少？,What is the sales contribution of the European market in the first 10 months of 2024? | What is the sales contribution of the Chinese market in the first 10 months of 2024?,2,51,8,1.0,0.0392156862745098,0.07547169811320754,1.0,0.25,0.4,0.0,0.2107843137254902,0.3245283018867925,"In the first nine months of 2024, Lotus Robotics reported a revenue of $19 million, which represents a year-over-year growth of 217%. The revenue from other customers soared to $11 million, marking a 450% increase as the || In the first nine months of 2024, Lotus Technology achieved total deliveries of 7,617 units, representing a 136% year-on-year (YoY) increase. Global allocation was relatively diversified, with each region contributing 18","In the first nine months of 2024, Lotus Technology achieved total deliveries of 7,617 units, representing a 136% year-on-year (YoY) increase. Global allocation was relatively diversified, with each region contributing 18 || In the first nine months of 2024, Lotus Robotics reported a revenue of $19 million, which represents a year-over-year growth of 217%. The revenue from other customers soared to $11 million, marking a 450% increase as the","In the first nine months of 2024, Lotus Technology achieved total deliveries of 7,617 units, representing a 136% year-on-year (YoY) increase. Global allocation was relatively diversified, with each region contributing 18 || In the first nine months of 2024, Lotus Robotics reported a revenue of $19 million, which represents a year-over-year growth of 217%. The revenue from other customers soared to $11 million, marking a 450% increase as the","In the first nine months of 2024, Lotus Technology achieved total deliveries of 7,617 units, representing a 136% year-on-year (YoY) increase. Global allocation was relatively diversified, with each region contributing 18 || [Table Level] - Table Title: Regional Performance Overview for January to September 2024 and 2023 - Table Summary: This table provides a comparative analysis of performance across different regions for the periods of Jan || In the full year of 2024, Lotus Technology achieved total deliveries of 12,134 units, representing a 74% year-on-year (YoY) increase, powered by over 200 stores worldwide. Lotus Technology maintained a growth trajectory ",,,
question75_5,hurt,src/test/test_questions/question75_5/question_62_62.json,0,Kershaw Health Limited与Lotus Technology的交易进展如何？,What is the current status of the transaction between Kershaw Health Limited and Lotus Technology?,5,22,5,1.0,0.22727272727272727,0.37037037037037035,0.2,0.2,0.20000000000000004,-0.8,-0.027272727272727254,-0.1703703703703703,"Bond Subscription Agreement, dated November 7, 2024, by and between Lotus Technology Inc. and Kershaw Health Limited, Form of Global Certificate. || On November 7, 2024, Lotus Technology entered into a bond subscription agreement (the “Bond Subscription Agreement”) with Kershaw Health Limited, a private limited company incorporated in England and Wales (the “Subscrib || THIS SUBSCRIPTION AGREEMENT (this “Agreement”), dated November 7, 2024, is entered into by and between (i) Lotus Technology Inc., an exempted company incorporated in the Cayman Islands (the “Company”), and Kershaw Health","Bond Subscription Agreement, dated November 7, 2024, by and between Lotus Technology Inc. and Kershaw Health Limited, Form of Global Certificate. || On November 7, 2024, Lotus Technology entered into a bond subscription agreement (the “Bond Subscription Agreement”) with Kershaw Health Limited, a private limited company incorporated in England and Wales (the “Subscrib || THIS SUBSCRIPTION AGREEMENT (this “Agreement”), dated November 7, 2024, is entered into by and between (i) Lotus Technology Inc., an exempted company incorporated in the Cayman Islands (the “Company”), and Kershaw Health","By: /s/ Alexious Kuen Long Lee Name: Alexious Kuen Long Lee Title: Director and Chief Financial Officer SUBSCRIPTION AGREEMENT dated November 7, 2024 by and between LOTUS TECHNOLOGY INC. KERSHAW HEALTH LIMITED ARTICLE I ","By: /s/ Alexious Kuen Long Lee Name: Alexious Kuen Long Lee Title: Director and Chief Financial Officer SUBSCRIPTION AGREEMENT dated November 7, 2024 by and between LOTUS TECHNOLOGY INC. KERSHAW HEALTH LIMITED ARTICLE I  || As consideration for Westwood’s irrevocable commitment to purchase ADSs upon the terms of and subject to satisfaction of the conditions set forth in the ELOC Purchase Agreement, Lotus Technology Corporation issued 700,00 || In connection with the transaction, 50% equity interests of one of Lotus Technology's subsidiaries will be pledged to Geely HK. On November 7, 2024, Lotus Technology entered into the Bond Subscription Agreement with Kers",,,
question75_5,hurt,src/test/test_questions/question75_5/question_33_33.json,0,路特斯科技有哪些ESG成就？,What are the ESG achievements of Lotus Technology?,11,25,5,0.6363636363636364,0.28,0.3888888888888889,0.18181818181818182,0.4,0.25000000000000006,-0.45454545454545453,0.12,-0.13888888888888884,"Guided by the same principle of the Lotus brand and in collaboration with Lotus UK, the new Environmental, Social and Governance (ESG) Charter formalizes the activities that Lotus Technology has been carrying out. As Lot || To help engage the next generation of Lotus colleagues, Lotus Technology leverages its unique global appeal and stimulates the ambitions of the next generation, especially in the creative science, technology, engineering || The driving change commitment includes significant reduction in carbon emissions throughout the business, substantial elimination of waste, driving efficient and sustainable use of resources in both operations and supply","Guided by the same principle of the Lotus brand and in collaboration with Lotus UK, the new Environmental, Social and Governance (ESG) Charter formalizes the activities that Lotus Technology has been carrying out. As Lot || To help engage the next generation of Lotus colleagues, Lotus Technology leverages its unique global appeal and stimulates the ambitions of the next generation, especially in the creative science, technology, engineering || Carbon-neutral sustainable development. Lotus Technology plans to achieve its goal of becoming a carbon-neutral company through sustainability in the design of products. Manufacturing sustainability is of high importance","The driving change commitment includes significant reduction in carbon emissions throughout the business, substantial elimination of waste, driving efficient and sustainable use of resources in both operations and supply || Lotus achieved significant operational efficiency in 2024 by reducing operating expenses for four consecutive quarters. This focus on streamlining operations contributed to their robust performance throughout the year. T","The driving change commitment includes significant reduction in carbon emissions throughout the business, substantial elimination of waste, driving efficient and sustainable use of resources in both operations and supply || Lotus achieved significant operational efficiency in 2024 by reducing operating expenses for four consecutive quarters. This focus on streamlining operations contributed to their robust performance throughout the year. T || Lotus Technology released its first annual ESG Report on October 25, 2023, which documented Lotus Technology's ESG strategy and highlighted Lotus Technology's 2022 ESG achievements as part of Lotus's advancement into a f",,,
