retriever,display_name,question_zh,question_en,recall,precision,f1,num_recalls
faiss,dense,路特斯科技的总部位于哪里？,Where is the headquarters of Lotus Technology located?,1.0,0.1,0.18181818181818182,70
faiss,dense,路特斯科技股票在哪个交易所交易？股票代码是多少？,Where is Lotus Technology's stock traded? What is the stock code for Lotus Technology?,0.7,0.2,0.3111111111111111,70
faiss,dense,路特斯科技的一股美国存托股份【ADS】代表多少股普通股？,How many ordinary shares does one American Depositary Share (ADS) of Lotus Technology represent?,1.0,0.08571428571428572,0.15789473684210528,70
faiss,dense,路特斯科技的主营业务是什么？,What is the main business of Lotus Technology?,1.0,0.17142857142857143,0.2926829268292683,70
faiss,dense,路特斯科技与路特斯汽车的关系是什么？,What is the relationship between Lotus Technology and Lotus Cars?,0.8571428571428571,0.08571428571428572,0.15584415584415584,70
faiss,dense,路特斯科技与吉利汽车的关系是什么？,What is the relationship between Lotus Technology and Geely Auto?,0.875,0.1,0.17948717948717952,70
faiss,dense,路特斯科技的股东结构构成？,What is the shareholder structure of Lotus Technology?,0.8571428571428571,0.08571428571428572,0.15584415584415584,70
faiss,dense,路特斯科技全球的门店数量是多少？生活用车已经进入多少国家、地区？,What is the total number of Lotus Technology stores globally?,0.8461538461538461,0.07857142857142857,0.1437908496732026,140
faiss,dense,路特斯科技是否受到欧洲、美国对中国的关税影响？具体适用税率是多少？,Is Lotus Technology affected by tariffs imposed by Europe and the United States on China? What are the specific applicable tax rates?,0.7142857142857143,0.14285714285714285,0.23809523809523808,70
faiss,dense,路特斯科技在售产品有哪些？价格是多少？,What are the products currently offered by Lotus Technology? What are the prices of these products?,0.6666666666666666,0.08571428571428572,0.1518987341772152,70
faiss,dense,路特斯科技截止上半年的全球交付数量是多少？,What is the global delivery volume of Lotus Technology as of the first half of the year?,1.0,0.12857142857142856,0.22784810126582278,70
faiss,dense,路特斯科技的商品销售毛利率是多少？,What is the gross margin of Lotus Technology?,0.8,0.05714285714285714,0.10666666666666666,70
faiss,dense,路特斯科技最新的销售指引？,What is the latest sales guidance for Lotus Technology?,0.8,0.05714285714285714,0.10666666666666666,70
faiss,dense,路特斯科技是否盈利？,Is Lotus Technology profitable?,1.0,0.12857142857142856,0.22784810126582278,70
faiss,dense,路特斯科技的用户画像？,What is the user profile for Lotus Technology?,0.6666666666666666,0.05714285714285714,0.10526315789473684,70
faiss,dense,路特斯科技产品的交付周期是多少？,What is the delivery cycle for Lotus Technology products?,0.8,0.05714285714285714,0.10666666666666666,70
faiss,dense,路特斯科技的员工数量？,What is the number of employees at Lotus Technology?,0.8,0.05714285714285714,0.10666666666666666,70
faiss,dense,路特斯科技的研发投入？研发人员数量？,What is the R&D investment of Lotus Technology?,0.6666666666666666,0.02857142857142857,0.0547945205479452,140
faiss,dense,路特斯科技的主要竞争优势是什么？,What are the main competitive advantages of Lotus Technology?,1.0,0.11428571428571428,0.20512820512820512,70
faiss,dense,路特斯科技的远期目标？,What are the long-term goals of Lotus Technology?,1.0,0.11428571428571428,0.20512820512820512,70
faiss,dense,路特斯科技2024年前9个月的业绩表现如何？,What is the performance of Lotus Technology for the first 9 months of 2024?,1.0,0.07142857142857142,0.13333333333333333,70
faiss,dense,路特斯科技截止3季度的全球交付数量是多少？增长如何？,What is the global delivery volume of Lotus Technology as of the third quarter? How has the delivery volume grown?,0.7777777777777778,0.1,0.17721518987341772,70
faiss,dense,路特斯科技前三季度生活用车和跑车的交付量分别是多少？,What were the delivery volumes of Lotus Technology's lifestyle vehicles and sports cars in the first three quarters?,0.4,0.02857142857142857,0.05333333333333333,70
faiss,dense,路特斯科技第三季度的交付量是多少？,What is the delivery volume of Lotus Technology in the third quarter?,0.6,0.04285714285714286,0.08,70
faiss,dense,路特斯科技的毛利率是多少？经营性利润/亏损是多少？,What is the gross margin of Lotus Technology?,0.6842105263157895,0.09285714285714286,0.16352201257861634,140
faiss,dense,路特斯科技的全年销售指引是多少？目前看是否能完成？,What is the full-year sales guidance for Lotus Technology? Is it currently on track to meet this guidance?,0.3333333333333333,0.07142857142857142,0.11764705882352941,70
faiss,dense,路特斯科技的最新员工数量？研发人员数量？,What is the latest employee count for Lotus Technology?,0.6666666666666666,0.05714285714285714,0.10526315789473684,140
faiss,dense,路特斯科技的欧洲市场、中国市场、北美市场分别的销售贡献如何？,"What are the sales contributions of Lotus Technology in the European market, Chinese market, and US market?",0.6666666666666666,0.08571428571428572,0.1518987341772152,70
faiss,dense,路特斯科技的欧洲、中国、美国分别的门店数量占比如何？,"What is the distribution of Lotus Technology's store numbers in Europe, China, and the United States?",0.8,0.05714285714285714,0.10666666666666666,70
faiss,dense,路特斯生活用车和跑车的销售占比分别怎样？,What is the sales ratio of Lotus Technology's lifestyle vehicles and sports cars?,0.875,0.1,0.17948717948717952,70
faiss,dense,路特斯科技在2024年有哪些关键性成就？,What are the key achievements of Lotus Technology in 2024?,0.8181818181818182,0.12857142857142856,0.2222222222222222,70
faiss,dense,路特斯科技的平均MSRP在什么水平？,What is the average MSRP for Lotus Technology?,0.18181818181818182,0.02857142857142857,0.04938271604938271,70
faiss,dense,路特斯科技在2024年进入了哪些新市场？,What new markets did Lotus Technology enter in 2024?,1.0,0.08571428571428572,0.15789473684210528,70
faiss,dense,路特斯科技有哪些ESG成就？,What are the ESG achievements of Lotus Technology?,0.8181818181818182,0.12857142857142856,0.2222222222222222,70
faiss,dense,路特斯的智能驾驶有哪些成就？,What are the achievements of Lotus Technology in smart driving?,1.0,0.17142857142857143,0.2926829268292683,70
faiss,dense,智能驾驶业务（也就是路特斯机器人）的销售额？,What are the sales figures for the intelligent driving business (Lotus Robotics)?,1.0,0.07142857142857142,0.13333333333333333,70
faiss,dense,介绍一下路特斯智能驾驶的NOA服务？,Can you provide an introduction to Lotus Technology's NOA (Navigate on Autopilot) service?,1.0,0.07142857142857142,0.13333333333333333,70
